,0,1,2,3,4
0,Nina,kept,four,pretty,houses
1,Lucy,kept,three,old,rings
2,Thomas,got,nine,heavy,toys
3,Thomas,sold,fifteen,white,spoons
4,Allen,got,three,old,flowers
5,Peter,got,three,red,desks
6,Rachel,got,three,dark,tables
7,Allen,sees,four,green,flowers
8,Steven,prefers,seven,pretty,sofas
9,Lucy,wants,seven,small,houses
10,Peter,sees,seven,large,desks
11,Thomas,prefers,nineteen,white,toys
12,Lucy,wants,fifteen,small,spoons
13,Peter,got,twelve,small,tables
14,Rachel,sold,seven,large,
15,Rachel,has,seven,green,houses
16,Peter,sold,sixty,white,desks
17,Lucy,ordered,three,heavy,rings
18,Allen,bought,nineteen,large,chairs
19,Thomas,gives,twelve,heavy,sofas
20,William,has,nine,small,flowers
21,Thomas,prefers,eight,cheap,toys
22,Steven,prefers,eight,white,chairs
23,Thomas,got,nine,green,sofas
24,Allen,ordered,twelve,heavy,rings
25,Nina,kept,two,old,windows
26,Lucy,got,four,heavy,toys
27,Peter,gives,nineteen,old,rings
28,Allen,wants,eight,small,spoons
29,Allen,sold,seven,old,spoons
30,Steven,has,eight,old,tables
31,Rachel,bought,eight,dark,windows
32,Doris,sees,four,red,sofas
33,Doris,has,nineteen,large,houses
34,William,kept,two,heavy,rings
35,Allen,got,nineteen,cheap,desks
36,Rachel,got,twelve,old,flowers
37,Steven,wants,three,cheap,spoons
38,Allen,ordered,nine,large,desks
39,Peter,prefers,sixty,old,sofas
40,Steven,ordered,three,large,rings
41,Thomas,got,four,pretty,spoons
42,Lucy,has,four,heavy,rings
43,Rachel,has,three,large,
44,Nina,sold,fifteen,dark,spoons
45,Thomas,sold,fifteen,large,flowers
46,Rachel,kept,nine,heavy,
47,Rachel,kept,nineteen,large,houses
48,Lucy,has,two,white,desks
49,Thomas,prefers,nine,cheap,spoons
50,William,gives,nineteen,dark,rings
51,Peter,sold,eight,large,flowers
52,William,gives,nineteen,dark,rings
53,Doris,wants,twelve,cheap,tables
54,Steven,sold,nine,green,sofas
55,Lucy,ordered,nine,heavy,chairs
56,Rachel,prefers,twelve,red,desks
57,Peter,kept,three,white,desks
58,William,got,two,red,windows
59,Doris,ordered,nineteen,white,toys
