,0,1,2,3,4
0,Steven,gives,fifteen,white,toys
1,Peter,sold,two,white,flowers
2,Peter,sold,nine,green,sofas
3,William,kept,nine,large,rings
4,William,bought,seven,white,desks
5,Doris,has,three,red,toys
6,Thomas,has,sixty,red,houses
7,Lucy,gives,twelve,large,spoons
8,Kathy,wants,two,pretty,sofas
9,Thomas,bought,three,red,windows
10,Peter,got,four,red,rings
11,William,got,nineteen,green,spoons
12,Kathy,kept,seven,red,tables
13,Nina,sees,nineteen,green,desks
14,Peter,kept,twelve,large,sofas
15,Nina,gives,four,large,windows
16,Thomas,kept,eight,pretty,sofas
17,Kathy,bought,four,dark,rings
18,Thomas,prefers,fifteen,pretty,windows
19,William,prefers,four,heavy,windows
20,Lucy,has,two,white,desks
21,Doris,wants,twelve,cheap,toys
22,William,sees,eight,large,flowers
23,Thomas,got,nineteen,green,rings
24,William,kept,eight,small,spoons
25,Lucy,wants,fifteen,small,sofas
26,Steven,sees,three,red,desks
27,Nina,sees,nineteen,old,chairs
28,Lucy,prefers,three,large,houses
29,Thomas,prefers,nine,heavy,sofas
30,Steven,sold,sixty,pretty,flowers
31,Peter,wants,nine,green,spoons
32,Nina,bought,sixty,white,houses
33,Kathy,prefers,four,large,houses
34,Lucy,gives,twelve,large,spoons
35,Peter,got,two,cheap,houses
36,Kathy,got,seven,red,houses
37,Peter,got,fifteen,old,tables
38,Lucy,gives,nineteen,pretty,houses
39,William,sees,three,white,houses
40,Kathy,got,nine,large,chairs
41,Rachel,ordered,four,pretty,spoons
42,Thomas,got,seven,pretty,flowers
43,Kathy,gives,fifteen,green,flowers
44,Peter,sees,seven,large,desks
45,Rachel,wants,four,,desks
46,Kathy,kept,nine,heavy,flowers
47,Doris,sold,nine,cheap,houses
