,0,1,2,3,4
0,Kathy,gives,three,small,desks
1,Nina,sees,four,large,tables
2,Allen,wants,sixty,green,toys
3,Lucy,ordered,three,red,spoons
4,Peter,has,four,green,windows
5,Rachel,prefers,three,pretty,spoons
6,Steven,got,nine,heavy,houses
7,Doris,gives,twelve,large,houses
8,Steven,has,nine,large,spoons
9,Peter,has,four,large,toys
10,Thomas,sold,seven,white,flowers
11,Doris,kept,three,green,tables
12,Thomas,ordered,four,dark,houses
13,Doris,kept,three,green,tables
14,Rachel,wants,three,pretty,windows
15,Lucy,has,nineteen,white,desks
16,Nina,has,fifteen,green,tables
17,Steven,got,twelve,dark,chairs
18,William,got,sixty,dark,chairs
19,Rachel,sold,twelve,large,spoons
20,Peter,got,nine,dark,spoons
21,Kathy,has,four,dark,windows
22,Doris,got,nine,large,rings
23,Allen,bought,seven,white,desks
24,Thomas,ordered,three,old,houses
25,Steven,kept,two,red,chairs
26,Nina,prefers,fifteen,large,rings
27,Doris,wants,twelve,cheap,toys
28,Peter,sold,four,red,flowers
29,William,gives,nineteen,small,sofas
30,Thomas,wants,fifteen,heavy,tables
31,Peter,ordered,eight,small,rings
32,Rachel,bought,sixty,red,spoons
33,Peter,sold,eight,large,sofas
34,Steven,wants,fifteen,heavy,tables
35,Nina,sold,two,small,sofas
36,Thomas,prefers,eight,cheap,toys
37,Nina,kept,four,large,spoons
38,Doris,sold,nineteen,green,desks
39,William,sees,nineteen,white,flowers
40,William,sees,nineteen,white,flowers
41,Thomas,got,sixty,cheap,desks
42,Thomas,got,nine,pretty,sofas
43,William,bought,two,pretty,windows
44,Nina,has,sixty,large,sofas
45,Peter,sees,twelve,cheap,spoons
46,Peter,sees,twelve,large,spoons
47,Lucy,prefers,nineteen,large,desks
