,0,1,2,3,4
0,Rachel,bought,sixty,large,spoons
1,Thomas,prefers,three,white,desks
2,Allen,gives,eight,dark,rings
3,Nina,has,seven,old,sofas
4,Allen,got,nine,old,sofas
5,Rachel,got,four,heavy,spoons
6,Nina,prefers,twelve,large,houses
7,Lucy,has,nineteen,dark,desks
8,Allen,ordered,twelve,heavy,rings
9,Lucy,got,four,pretty,sofas
10,Thomas,sees,twelve,large,chairs
11,Allen,gives,fifteen,cheap,flowers
12,William,kept,sixty,heavy,rings
13,Doris,bought,seven,small,windows
14,Nina,wants,three,old,chairs
15,Peter,sold,fifteen,cheap,chairs
16,Thomas,sees,nineteen,cheap,houses
17,William,sold,nine,old,desks
18,Nina,bought,two,large,tables
19,Doris,has,three,dark,desks
20,Steven,prefers,eight,small,spoons
21,Thomas,gives,twelve,heavy,toys
22,Peter,got,twelve,old,rings
23,Thomas,ordered,three,pretty,houses
24,Thomas,got,sixty,cheap,desks
25,Steven,kept,fifteen,small,sofas
26,Thomas,has,three,green,toys
27,Rachel,bought,sixty,red,spoons
28,Peter,sold,twelve,small,flowers
29,Rachel,sees,seven,heavy,chairs
30,Thomas,ordered,four,dark,houses
31,Doris,prefers,three,white,rings
32,Nina,sold,fifteen,old,flowers
33,Lucy,wants,sixty,small,sofas
34,Kathy,gives,nine,old,chairs
35,William,bought,four,red,tables
36,Peter,ordered,three,white,houses
37,Allen,bought,seven,pretty,tables
38,Peter,gives,nine,heavy,sofas
39,Allen,wants,sixty,large,windows
40,Rachel,got,eight,small,spoons
41,Doris,prefers,nineteen,dark,flowers
42,Kathy,sold,fifteen,dark,spoons
43,Steven,has,four,heavy,chairs
44,Peter,kept,four,dark,desks
45,Doris,kept,nineteen,cheap,spoons
46,Thomas,prefers,eight,cheap,toys
47,Allen,bought,nine,pretty,sofas
