,0,1,2,3,4
0,Allen,bought,eight,cheap,chairs
1,Allen,bought,eight,cheap,chairs
2,Allen,bought,eight,cheap,chairs
3,Allen,bought,eight,cheap,chairs
4,Allen,bought,eight,cheap,chairs
5,Allen,bought,eight,cheap,chairs
6,Allen,bought,eight,cheap,chairs
7,Allen,bought,eight,cheap,chairs
8,Allen,bought,eight,cheap,chairs
9,Allen,bought,eight,cheap,chairs
10,Allen,bought,eight,cheap,chairs
11,Allen,bought,eight,cheap,chairs
12,Allen,bought,eight,cheap,chairs
13,Allen,bought,eight,cheap,chairs
14,Allen,bought,eight,cheap,chairs
15,Allen,bought,eight,cheap,chairs
16,Allen,bought,eight,cheap,chairs
17,Allen,bought,eight,cheap,chairs
18,Allen,bought,eight,cheap,chairs
19,Allen,bought,eight,cheap,chairs
20,Allen,bought,eight,cheap,chairs
21,Allen,bought,eight,cheap,chairs
22,Allen,bought,eight,cheap,chairs
23,Allen,bought,eight,cheap,chairs
24,Allen,bought,eight,cheap,chairs
25,Allen,bought,eight,cheap,chairs
26,Allen,bought,eight,cheap,chairs
27,Allen,bought,eight,cheap,chairs
28,Allen,bought,eight,cheap,chairs
29,Allen,bought,eight,cheap,chairs
30,Allen,bought,eight,cheap,chairs
31,Allen,bought,eight,cheap,chairs
32,Allen,bought,eight,cheap,chairs
33,Allen,bought,eight,cheap,chairs
34,Allen,bought,eight,cheap,chairs
35,Allen,bought,eight,cheap,chairs
36,Allen,bought,eight,cheap,chairs
37,Allen,bought,eight,cheap,chairs
38,Allen,bought,eight,cheap,chairs
39,Allen,bought,eight,cheap,chairs
40,Allen,bought,eight,cheap,chairs
41,Allen,bought,eight,cheap,chairs
42,Allen,bought,eight,cheap,chairs
43,Allen,bought,eight,cheap,chairs
44,Allen,bought,eight,cheap,chairs
45,Allen,bought,eight,cheap,chairs
46,Allen,bought,eight,cheap,chairs
47,Allen,bought,eight,cheap,chairs
