,0,1,2,3,4
0,William,ordered,sixty,cheap,toys
1,Rachel,sold,three,pretty,rings
2,Lucy,gives,seven,white,desks
3,Thomas,got,nineteen,old,houses
4,Peter,sold,twelve,large,flowers
5,Thomas,has,three,white,desks
6,Doris,sold,eight,pretty,spoons
7,Rachel,got,two,red,toys
8,Steven,wants,fifteen,heavy,tables
9,Lucy,ordered,seven,large,desks
10,Rachel,bought,four,pretty,spoons
11,Peter,got,nine,white,rings
12,Doris,got,seven,cheap,desks
13,Peter,ordered,seven,large,flowers
14,Steven,sold,nine,green,sofas
15,Kathy,prefers,nine,pretty,spoons
16,William,sees,sixty,cheap,chairs
17,William,has,three,small,sofas
18,Kathy,ordered,sixty,cheap,toys
19,Peter,bought,nineteen,pretty,rings
20,Rachel,sold,seven,green,houses
21,Rachel,got,three,small,sofas
22,Allen,wants,three,pretty,chairs
23,Thomas,ordered,eight,red,houses
24,Peter,gives,fifteen,large,tables
25,Steven,bought,seven,cheap,desks
26,Allen,has,two,heavy,sofas
27,Lucy,got,twelve,pretty,chairs
28,William,has,three,cheap,sofas
29,Kathy,sold,twelve,green,chairs
30,Rachel,prefers,fifteen,large,houses
31,Thomas,prefers,nineteen,pretty,spoons
32,Peter,got,fifteen,large,chairs
33,Peter,got,nine,green,sofas
34,Lucy,got,two,small,flowers
35,William,wants,sixty,pretty,chairs
36,Allen,got,four,old,flowers
37,Rachel,ordered,nineteen,old,toys
38,Rachel,sees,fifteen,old,flowers
39,Lucy,sold,nine,pretty,spoons
40,William,got,sixty,dark,chairs
41,Doris,bought,seven,small,windows
42,Nina,sees,seven,old,chairs
43,Thomas,gives,three,white,windows
44,William,ordered,two,red,sofas
45,Rachel,got,two,large,rings
46,Steven,wants,sixty,green,flowers
47,Thomas,wants,four,pretty,rings
