,0,1,2,3,4
0,Allen,gives,four,heavy,rings
1,Doris,got,nine,large,sofas
2,Kathy,has,nineteen,old,spoons
3,Allen,gives,four,heavy,rings
4,Nina,ordered,sixty,red,toys
5,Nina,prefers,three,small,windows
6,Nina,ordered,sixty,red,toys
7,Peter,ordered,sixty,red,tables
8,Allen,got,nineteen,pretty,tables
9,Allen,gives,four,heavy,rings
10,Allen,gives,four,heavy,rings
11,Allen,gives,four,heavy,rings
12,Kathy,has,nineteen,old,spoons
13,Allen,gives,four,heavy,rings
14,Allen,gives,four,heavy,houses
15,Peter,ordered,sixty,pretty,tables
16,Peter,prefers,three,small,toys
17,Nina,ordered,sixty,red,toys
18,Rachel,sees,twelve,white,toys
19,Peter,kept,seven,large,sofas
20,Nina,kept,seven,old,spoons
21,Nina,has,nineteen,large,rings
22,Peter,ordered,sixty,red,toys
23,Peter,ordered,seven,old,spoons
24,Rachel,prefers,three,red,tables
25,Peter,ordered,seven,old,spoons
26,Peter,prefers,sixty,red,toys
27,Nina,kept,seven,old,sofas
28,Peter,ordered,sixty,pretty,tables
29,Peter,ordered,sixty,pretty,spoons
30,Nina,ordered,seven,pretty,spoons
31,Allen,gives,four,heavy,rings
32,Lucy,has,nineteen,large,sofas
33,Lucy,kept,seven,pretty,tables
34,Nina,prefers,three,small,toys
35,Nina,ordered,sixty,red,toys
36,Lucy,has,nineteen,old,spoons
37,Lucy,kept,nineteen,large,sofas
38,Peter,ordered,sixty,pretty,spoons
39,Nina,ordered,seven,pretty,spoons
40,Nina,kept,nineteen,large,rings
41,Kathy,has,nine,large,sofas
42,Nina,kept,seven,old,spoons
43,Nina,kept,nineteen,old,sofas
44,Kathy,got,four,green,houses
45,Allen,gives,fifteen,green,houses
46,Allen,got,nine,large,sofas
47,Lucy,has,nine,heavy,rings
