,0,1,2,3,4
0,William,prefers,two,small,desks
1,Nina,sold,fifteen,large,flowers
2,Allen,bought,nineteen,pretty,sofas
3,Thomas,got,nine,green,windows
4,Allen,bought,nineteen,large,chairs
5,Lucy,got,fifteen,cheap,spoons
6,Nina,sold,twelve,old,windows
7,Thomas,sold,sixty,dark,houses
8,Doris,kept,seven,large,sofas
9,Peter,got,fifteen,white,houses
10,Peter,has,fifteen,green,rings
11,William,got,nineteen,small,sofas
12,Kathy,sold,nineteen,heavy,chairs
13,Peter,gives,fifteen,large,tables
14,Peter,sees,sixty,large,spoons
15,Doris,ordered,twelve,old,flowers
16,Kathy,kept,fifteen,cheap,desks
17,Thomas,gives,three,pretty,houses
18,Thomas,gives,seven,large,desks
19,Steven,kept,nine,small,spoons
20,Rachel,wants,twelve,cheap,flowers
21,Kathy,got,sixty,old,toys
22,Nina,sold,sixty,large,rings
23,Steven,bought,fifteen,small,tables
24,Peter,sold,sixty,small,desks
25,William,ordered,nineteen,old,toys
26,Kathy,kept,two,large,houses
27,Kathy,gives,eight,large,spoons
28,William,got,eight,pretty,desks
29,Allen,has,seven,red,houses
30,Peter,has,sixty,white,tables
31,Rachel,ordered,eight,cheap,rings
32,Doris,sold,nine,cheap,houses
33,Lucy,has,nineteen,white,chairs
34,Steven,sold,nine,pretty,houses
35,Peter,ordered,two,dark,sofas
36,Thomas,ordered,sixty,green,tables
37,Steven,ordered,seven,cheap,windows
38,Steven,sees,eight,green,sofas
39,Thomas,bought,three,small,windows
40,Rachel,sold,seven,heavy,tables
41,Thomas,prefers,nine,cheap,spoons
42,Peter,ordered,four,red,toys
43,Lucy,sold,twelve,cheap,spoons
44,Doris,has,seven,green,tables
45,Kathy,sold,two,old,toys
46,William,gives,sixty,small,sofas
47,William,kept,twelve,heavy,rings
