demogInstr.started,demogInstr.stopped,demog.index,demog.itemText,demog.type,demog.response,demog.rt,contBtn1.started,contBtn1.stopped,contBtn1.numClicks,contBtn1.timesOn,contBtn1.timesOff,formInstructs.started,formInstructs.stopped,TIPIForm.index,TIPIForm.itemText,TIPIForm.type,TIPIForm.Scoring,TIPIForm.response,TIPIForm.rt,contBtn2.started,contBtn2.stopped,contBtn2.numClicks,contBtn2.timesOn,contBtn2.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
11.151412478182465,None,1,Type an random number for your ID,free text,wqeqwe,None,,,,,,,,,,,,,,,,,,,,001,2021_Feb_24_1822,BFI,2021.1.1,None,
,,2,Please select your age,radio,42 - 50,2.6096762421075255,,,,,,,,,,,,,,,,,,,,001,2021_Feb_24_1822,BFI,2021.1.1,None,
,,3,How many siblings do you have,radio,2,3.6183632630854845,,,,,,,,,,,,,,,,,,,,001,2021_Feb_24_1822,BFI,2021.1.1,None,
,,4,Please select your current mood,slider,3.4244935543278086,92.05153776705265,,,,,,,,,,,,,,,,,,,,001,2021_Feb_24_1822,BFI,2021.1.1,None,
,,,,,,,11.151412478182465,None,1,[93.39406516915187],[93.39406823203899],104.20897974609397,None,0,I see myself as…,description,None,,,,,,,,,001,2021_Feb_24_1822,BFI,2021.1.1,None,
,,,,,,,,,,,,,,Extraversion,"Extraverted, enthusiastic.",rating,+,4,7.520052662119269,,,,,,,001,2021_Feb_24_1822,BFI,2021.1.1,None,
,,,,,,,,,,,,,,Agreeableness,"Critical, quarrelsome.",rating,-,5,8.730465662200004,,,,,,,001,2021_Feb_24_1822,BFI,2021.1.1,None,
,,,,,,,,,,,,,,Conscientiousness,"Dependable, self-disciplined.",rating,+,4,19.457181309815496,,,,,,,001,2021_Feb_24_1822,BFI,2021.1.1,None,
,,,,,,,,,,,,,,Emotional stability,"Anxious, easily upset.",rating,-,5,18.298182564089075,,,,,,,001,2021_Feb_24_1822,BFI,2021.1.1,None,
,,,,,,,,,,,,,,Openness to Experiences,"Open to new experiences, complex.",rating,+,2,11.273262263974175,,,,,,,001,2021_Feb_24_1822,BFI,2021.1.1,None,
,,,,,,,,,,,,,,Extraversion,"Reserved, quiet.",rating,-,5,12.530528451083228,,,,,,,001,2021_Feb_24_1822,BFI,2021.1.1,None,
,,,,,,,,,,,,,,Agreeableness,"Sympathetic, warm.",rating,+,4,19.479866397101432,,,,,,,001,2021_Feb_24_1822,BFI,2021.1.1,None,
,,,,,,,,,,,,,,Conscientiousness,"Disorganized, careless.",rating,-,5,19.907362845959142,,,,,,,001,2021_Feb_24_1822,BFI,2021.1.1,None,
,,,,,,,,,,,,,,Emotional stability,"Calm, emotionally stable.",rating,+,3,22.06705357413739,,,,,,,001,2021_Feb_24_1822,BFI,2021.1.1,None,
,,,,,,,,,,,,,,Openness to Experiences,"Conventional, uncreative.",rating,-,5,21.05783594516106,,,,,,,001,2021_Feb_24_1822,BFI,2021.1.1,None,
,,,,,,,,,,,,,,,,,,,,104.27132866717875,None,1,[26.407504019793123],[26.407507249852642],,,,,,,
