demogInstr.started,demogInstr.stopped,demog.index,demog.itemText,demog.type,demog.response,demog.rt,contBtn1.started,contBtn1.stopped,contBtn1.numClicks,contBtn1.timesOn,contBtn1.timesOff,formInstructs.started,formInstructs.stopped,TIPIForm.index,TIPIForm.itemText,TIPIForm.type,TIPIForm.Scoring,TIPIForm.response,TIPIForm.rt,contBtn2.started,contBtn2.stopped,contBtn2.numClicks,contBtn2.timesOn,contBtn2.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
8.487078795908019,None,1,Type an random number for your ID,free text,sdfsdfe,None,,,,,,,,,,,,,,,,,,,jj,001,2021_Feb_24_1741,BFI,2021.1.1,59.98967071966533,
,,2,Please select your age,radio,42 - 50,7.622309677070007,,,,,,,,,,,,,,,,,,,jj,001,2021_Feb_24_1741,BFI,2021.1.1,59.98967071966533,
,,3,How many siblings do you have,radio,1,10.329266083193943,,,,,,,,,,,,,,,,,,,jj,001,2021_Feb_24_1741,BFI,2021.1.1,59.98967071966533,
,,4,Please select your current mood,slider,None,None,,,,,,,,,,,,,,,,,,,jj,001,2021_Feb_24_1741,BFI,2021.1.1,59.98967071966533,
,,,,,,,8.487078795908019,None,1,[11.27821162599139],[11.278214488876984],19.50474595488049,None,0,I see myself as…,description,None,,,,,,,,jj,001,2021_Feb_24_1741,BFI,2021.1.1,59.98967071966533,
,,,,,,,,,,,,,,Extraversion,"Extraverted, enthusiastic.",rating,+,1,11.30951331090182,,,,,,jj,001,2021_Feb_24_1741,BFI,2021.1.1,59.98967071966533,
,,,,,,,,,,,,,,Agreeableness,"Critical, quarrelsome.",rating,-,3,12.497817044146359,,,,,,jj,001,2021_Feb_24_1741,BFI,2021.1.1,59.98967071966533,
,,,,,,,,,,,,,,Conscientiousness,"Dependable, self-disciplined.",rating,+,None,None,,,,,,jj,001,2021_Feb_24_1741,BFI,2021.1.1,59.98967071966533,
,,,,,,,,,,,,,,Emotional stability,"Anxious, easily upset.",rating,-,4,17.225324221188203,,,,,,jj,001,2021_Feb_24_1741,BFI,2021.1.1,59.98967071966533,
,,,,,,,,,,,,,,Openness to Experiences,"Open to new experiences, complex.",rating,+,4,10.341380873927847,,,,,,jj,001,2021_Feb_24_1741,BFI,2021.1.1,59.98967071966533,
,,,,,,,,,,,,,,Extraversion,"Reserved, quiet.",rating,-,5,13.939341401914135,,,,,,jj,001,2021_Feb_24_1741,BFI,2021.1.1,59.98967071966533,
,,,,,,,,,,,,,,Agreeableness,"Sympathetic, warm.",rating,+,3,14.662619999144226,,,,,,jj,001,2021_Feb_24_1741,BFI,2021.1.1,59.98967071966533,
,,,,,,,,,,,,,,Conscientiousness,"Disorganized, careless.",rating,-,2,16.453609785065055,,,,,,jj,001,2021_Feb_24_1741,BFI,2021.1.1,59.98967071966533,
,,,,,,,,,,,,,,Emotional stability,"Calm, emotionally stable.",rating,+,3,17.20261611393653,,,,,,jj,001,2021_Feb_24_1741,BFI,2021.1.1,59.98967071966533,
,,,,,,,,,,,,,,Openness to Experiences,"Conventional, uncreative.",rating,-,4,20.55552347097546,,,,,,jj,001,2021_Feb_24_1741,BFI,2021.1.1,59.98967071966533,
,,,,,,,,,,,,,,,,,,,,19.602682737866417,None,1,[31.811891901073977],[31.81189476698637],,,,,,,
