,0
0,mismatch right
1,mismatch left
2,match left
3,match left
4,mismatch right
5,match right
6,match right
7,match left
8,mismatch left
9,match right
10,mismatch left
11,mismatch right
12,mismatch right
13,match right
14,match right
15,match left
16,match right
17,mismatch left
18,match right
19,match left
20,match left
21,match left
22,match right
23,mismatch right
24,mismatch left
25,mismatch left
26,mismatch left
27,mismatch right
28,match right
29,match left
30,match left
31,mismatch right
32,match left
33,match right
34,mismatch right
35,match left
36,match right
37,mismatch left
38,mismatch left
39,mismatch right
40,mismatch right
41,mismatch left
42,match left
43,mismatch right
44,mismatch right
45,match right
46,mismatch left
47,mismatch right
48,mismatch right
49,match left
50,match left
51,mismatch left
52,match right
53,match right
54,mismatch left
55,mismatch left
56,mismatch right
57,match left
58,mismatch left
59,match right
