,Column1,Column2,Column3,Column4,Column5
0,Doris,got,four,red,toys
1,Nina,ordered,three,heavy,windows
2,William,prefers,sixty,small,sofas
3,Lucy,has,two,white,desks
4,Allen,sees,four,dark,toys
5,Peter,sold,nineteen,pretty,rings
6,Peter,sold,sixty,white,desks
7,Doris,sold,nine,cheap,houses
8,Peter,got,fifteen,old,tables
9,William,kept,two,red,windows
10,Kathy,wants,eight,dark,flowers
11,Lucy,got,fifteen,small,flowers
12,William,sees,sixty,cheap,flowers
13,Nina,wants,two,small,chairs
14,Rachel,ordered,four,pretty,spoons
15,Doris,has,three,red,toys
16,Steven,prefers,seven,pretty,sofas
17,Peter,got,two,cheap,houses
18,William,has,nine,small,flowers
19,Thomas,wants,four,pretty,rings
20,Peter,ordered,sixty,white,desks
21,Nina,sees,nineteen,old,chairs
22,Thomas,got,twelve,large,toys
23,Thomas,got,nineteen,heavy,desks
24,Steven,ordered,twelve,dark,sofas
25,Kathy,gives,nine,old,chairs
26,Thomas,got,sixty,cheap,desks
27,Thomas,prefers,three,white,desks
28,Allen,got,three,cheap,chairs
29,William,kept,nine,small,windows
30,Rachel,bought,fifteen,green,houses
31,Thomas,prefers,nineteen,white,spoons
32,Doris,sees,twelve,red,toys
33,Peter,has,seven,white,flowers
34,Lucy,got,four,pretty,sofas
35,William,kept,two,red,windows
36,Rachel,sees,three,pretty,chairs
37,Peter,ordered,twelve,red,windows
38,Rachel,gives,eight,dark,spoons
39,Thomas,wants,fifteen,heavy,tables
40,William,kept,two,red,windows
41,Nina,has,fifteen,white,spoons
42,Thomas,got,nineteen,heavy,desks
43,Steven,ordered,seven,small,houses
44,Nina,sold,twelve,old,windows
45,Nina,got,three,old,houses
46,Doris,ordered,seven,red,rings
47,Lucy,wants,eight,cheap,tables
48,Doris,ordered,twelve,old,flowers
49,Peter,wants,three,small,tables
50,Lucy,got,fifteen,cheap,chairs
51,Lucy,gives,eight,small,houses
52,Allen,prefers,two,heavy,desks
53,Peter,ordered,fifteen,green,tables
54,Doris,gives,two,large,sofas
55,Kathy,prefers,sixty,cheap,desks
56,Peter,bought,four,large,windows
57,Rachel,got,eight,small,spoons
58,Thomas,ordered,nine,dark,flowers
59,Lucy,wants,three,cheap,flowers
