,0
0,match right
1,match left
2,mismatch left
3,mismatch left
4,match right
5,mismatch right
6,match right
7,mismatch right
8,match left
9,mismatch right
10,match right
11,mismatch right
12,match right
13,mismatch left
14,match right
15,mismatch left
16,mismatch right
17,match left
18,match right
19,mismatch left
20,match left
21,mismatch right
22,match left
23,match left
24,mismatch left
25,match left
26,mismatch left
27,mismatch right
28,mismatch left
29,mismatch right
30,match right
31,mismatch right
32,mismatch left
33,match right
34,match left
35,mismatch left
36,match right
37,match left
38,match left
39,mismatch left
40,mismatch left
41,match left
42,match left
43,match right
44,match right
45,mismatch right
46,mismatch right
47,mismatch right
