,Column1,Column2,Column3,Column4,Column5
0,Kathy,kept,two,dark,houses
1,Allen,sees,three,red,toys
2,Thomas,got,sixty,cheap,desks
3,Steven,bought,twelve,cheap,desks
4,Allen,gives,seven,green,flowers
5,Kathy,gives,three,small,desks
6,Thomas,wants,nineteen,red,windows
7,Steven,sees,four,dark,spoons
8,Peter,gives,three,green,rings
9,Nina,wants,eight,large,toys
10,Nina,ordered,three,heavy,windows
11,Doris,wants,two,dark,tables
12,Thomas,got,twelve,small,toys
13,Doris,prefers,three,large,desks
14,Allen,got,sixty,old,desks
15,Nina,gives,twelve,old,sofas
16,William,ordered,sixty,cheap,houses
17,Lucy,gives,fifteen,green,flowers
18,Rachel,gives,four,green,rings
19,Thomas,sees,nineteen,cheap,houses
20,Peter,ordered,two,dark,sofas
21,Kathy,ordered,three,dark,desks
22,Peter,prefers,four,large,rings
23,Thomas,prefers,nineteen,small,toys
24,Kathy,got,sixty,pretty,desks
25,Doris,got,seven,cheap,desks
26,Nina,sees,nineteen,green,desks
27,Peter,gives,three,green,rings
28,William,got,twelve,heavy,tables
29,Rachel,wants,seven,large,chairs
30,William,sold,three,green,desks
31,Rachel,prefers,twelve,old,spoons
32,Doris,kept,sixty,dark,rings
33,William,has,seven,cheap,sofas
34,Peter,gives,fifteen,large,tables
35,Allen,got,nineteen,heavy,toys
36,Kathy,kept,three,large,toys
37,Rachel,has,nineteen,white,desks
38,Doris,wants,twelve,large,spoons
39,Nina,gives,twelve,old,sofas
40,Doris,bought,four,small,houses
41,Lucy,gives,seven,green,sofas
42,Thomas,ordered,four,dark,houses
43,Peter,kept,four,dark,desks
44,Doris,got,four,red,toys
45,Nina,wants,eight,pretty,rings
46,Rachel,got,four,heavy,spoons
47,Nina,prefers,twelve,large,houses
