,0
0,mismatch left
1,mismatch left
2,match left
3,mismatch left
4,match left
5,mismatch left
6,mismatch left
7,mismatch left
8,mismatch right
9,mismatch right
10,match left
11,mismatch right
12,match left
13,mismatch left
14,mismatch right
15,match right
16,mismatch right
17,match right
18,match right
19,mismatch left
20,mismatch right
21,mismatch left
22,match right
23,match right
24,match left
25,match left
26,mismatch left
27,mismatch left
28,mismatch right
29,match right
30,match left
31,mismatch right
32,match right
33,mismatch right
34,mismatch right
35,match right
36,mismatch right
37,match right
38,match left
39,match right
40,match right
41,match left
42,match left
43,match right
44,mismatch right
45,mismatch left
46,match left
47,match left
