,0
0,match left
1,mismatch right
2,match left
3,match left
4,match left
5,mismatch left
6,match left
7,match left
8,mismatch right
9,mismatch left
10,match right
11,match right
12,match right
13,mismatch right
14,mismatch left
15,match left
16,mismatch right
17,mismatch left
18,mismatch left
19,match left
20,match right
21,mismatch right
22,mismatch left
23,mismatch right
24,mismatch right
25,mismatch right
26,mismatch left
27,mismatch left
28,mismatch right
29,match left
30,match right
31,match right
32,mismatch left
33,mismatch left
34,mismatch right
35,match left
36,match right
37,match left
38,mismatch left
39,match right
40,match right
41,match left
42,match right
43,mismatch right
44,mismatch right
45,match right
46,mismatch left
47,match right
