,Column1,Column2,Column3,Column4,Column5
0,Peter,kept,nineteen,old,toys
1,William,got,three,pretty,desks
2,Lucy,has,nineteen,white,chairs
3,Nina,ordered,fifteen,red,rings
4,Nina,ordered,fifteen,red,rings
5,Peter,ordered,nine,heavy,desks
6,Kathy,got,two,dark,rings
7,Allen,sold,four,red,flowers
8,Lucy,wants,sixty,small,sofas
9,Doris,bought,seven,small,windows
10,Peter,sold,eight,old,spoons
11,Lucy,gives,fifteen,white,sofas
12,Rachel,ordered,twelve,cheap,tables
13,Thomas,sees,eight,old,toys
14,William,prefers,sixty,small,sofas
15,Steven,gives,nine,red,desks
16,Lucy,wants,three,cheap,flowers
17,Steven,got,seven,green,chairs
18,Lucy,wants,nine,white,chairs
19,William,has,three,green,tables
20,Allen,kept,nineteen,heavy,toys
21,Rachel,gives,eight,dark,spoons
22,Doris,bought,four,small,houses
23,Peter,gives,four,cheap,tables
24,William,got,nine,red,windows
25,Nina,sees,nineteen,old,chairs
26,William,got,nine,red,windows
27,Nina,has,eight,small,windows
28,Thomas,sold,sixty,white,flowers
29,Allen,kept,seven,red,houses
30,Kathy,gives,twelve,cheap,tables
31,Peter,ordered,sixty,white,desks
32,Allen,gives,seven,cheap,chairs
33,Thomas,got,twelve,dark,houses
34,Doris,has,three,red,toys
35,Steven,has,nineteen,white,windows
36,Steven,has,nineteen,white,windows
37,Kathy,wants,two,old,windows
38,Kathy,wants,two,old,windows
39,Peter,wants,seven,cheap,windows
40,Lucy,wants,three,cheap,flowers
41,Steven,has,four,red,toys
42,Doris,sees,sixty,pretty,desks
43,Kathy,ordered,eight,large,tables
44,Lucy,has,three,red,desks
45,Peter,gives,fifteen,dark,windows
46,Doris,bought,four,small,houses
47,Thomas,got,nine,large,rings
