,Column1,Column2,Column3,Column4,Column5
0,Doris,has,seven,green,tables
1,Rachel,got,sixty,pretty,flowers
2,Thomas,bought,three,cheap,spoons
3,Peter,gives,twelve,small,desks
4,Nina,sees,four,large,tables
5,Rachel,sold,three,red,windows
6,Nina,prefers,nineteen,small,houses
7,Kathy,wants,fifteen,dark,desks
8,Lucy,gives,seven,green,sofas
9,Doris,got,nine,old,windows
10,Peter,wants,nine,green,spoons
11,Peter,prefers,nineteen,dark,tables
12,Doris,gives,two,large,sofas
13,Lucy,sold,twelve,cheap,spoons
14,Kathy,bought,eight,green,flowers
15,Thomas,ordered,seven,old,desks
16,Lucy,wants,nine,white,chairs
17,Thomas,ordered,three,pretty,houses
18,Peter,bought,nineteen,dark,rings
19,Steven,ordered,seven,small,houses
20,Kathy,gives,twelve,cheap,tables
21,William,kept,two,small,chairs
22,Rachel,sold,seven,white,tables
23,Lucy,prefers,fifteen,heavy,sofas
24,Rachel,got,three,heavy,sofas
25,Peter,ordered,three,red,houses
26,Peter,sees,twelve,red,chairs
27,William,gives,nineteen,small,sofas
28,Rachel,got,nine,heavy,windows
29,Steven,wants,sixty,green,flowers
30,Thomas,has,sixty,dark,houses
31,Doris,prefers,three,white,rings
32,Rachel,ordered,two,dark,tables
33,Steven,bought,eight,large,sofas
34,Thomas,got,seven,pretty,flowers
35,Peter,sold,two,white,flowers
36,Doris,sold,seven,dark,windows
37,Doris,got,three,old,toys
38,Lucy,has,two,white,desks
39,Rachel,prefers,twelve,heavy,flowers
40,Allen,sees,fifteen,green,windows
41,Peter,kept,three,cheap,sofas
42,Rachel,kept,three,pretty,houses
43,Allen,has,nine,green,sofas
44,Lucy,sold,fifteen,cheap,spoons
45,Lucy,has,four,old,flowers
46,Kathy,gives,eight,large,spoons
47,Kathy,ordered,four,white,windows
