,0
0,mismatch left
1,mismatch right
2,match right
3,match left
4,mismatch right
5,mismatch left
6,match left
7,mismatch left
8,mismatch left
9,match left
10,mismatch right
11,mismatch right
12,match right
13,match left
14,mismatch left
15,match right
16,match right
17,match left
18,match left
19,match left
20,match left
21,match left
22,match left
23,match right
24,match right
25,match left
26,mismatch right
27,mismatch left
28,mismatch left
29,mismatch right
30,mismatch left
31,mismatch right
32,mismatch right
33,mismatch right
34,mismatch right
35,match right
36,match right
37,match right
38,match right
39,mismatch left
40,mismatch left
41,match right
42,mismatch left
43,mismatch right
44,match left
45,mismatch left
46,mismatch right
47,match right
