,0
0,mismatch left
1,mismatch right
2,mismatch right
3,mismatch left
4,match right
5,mismatch right
6,mismatch left
7,match left
8,match left
9,match right
10,match right
11,match left
12,match right
13,match right
14,match right
15,mismatch left
16,mismatch right
17,mismatch right
18,match right
19,match right
20,match right
21,match right
22,match left
23,match left
24,match left
25,mismatch left
26,mismatch right
27,mismatch left
28,match left
29,mismatch left
30,mismatch right
31,mismatch right
32,mismatch left
33,match left
34,match left
35,mismatch left
36,mismatch right
37,match left
38,match left
39,match left
40,mismatch left
41,mismatch left
42,mismatch right
43,mismatch right
44,mismatch right
45,match right
46,mismatch left
47,match right
