,Column1,Column2,Column3,Column4,Column5
0,Lucy,gives,seven,green,sofas
1,Peter,ordered,nineteen,large,rings
2,Steven,prefers,three,pretty,desks
3,Rachel,sees,four,old,houses
4,Rachel,wants,seven,heavy,tables
5,Thomas,gives,seven,pretty,toys
6,Allen,kept,three,heavy,desks
7,Thomas,got,seven,pretty,flowers
8,Steven,sold,eight,cheap,houses
9,Allen,wants,four,large,spoons
10,Steven,kept,fifteen,small,sofas
11,Peter,got,three,green,desks
12,Allen,prefers,fifteen,white,toys
13,Kathy,got,three,old,flowers
14,Kathy,bought,sixty,large,houses
15,Thomas,has,four,pretty,rings
16,Peter,got,four,pretty,houses
17,Peter,has,nine,small,toys
18,Doris,got,two,large,desks
19,Nina,kept,four,white,tables
20,William,ordered,sixty,cheap,houses
21,Steven,bought,twelve,cheap,desks
22,Lucy,has,nineteen,dark,desks
23,Nina,gives,twelve,old,sofas
24,Allen,wants,three,pretty,chairs
25,Thomas,kept,eight,pretty,sofas
26,Kathy,ordered,three,dark,desks
27,Peter,gives,fifteen,large,tables
28,Doris,got,two,green,chairs
29,Nina,got,twelve,old,windows
30,Peter,got,sixty,red,spoons
31,Thomas,ordered,nine,heavy,sofas
32,Steven,ordered,seven,dark,desks
33,Thomas,gives,three,white,windows
34,William,bought,four,red,tables
35,Kathy,got,seven,red,houses
36,Nina,sold,fifteen,large,desks
37,Lucy,wants,nine,white,chairs
38,Peter,gives,sixty,pretty,rings
39,Peter,ordered,seven,old,sofas
40,Steven,sold,twelve,large,desks
41,Doris,prefers,sixty,green,houses
42,Peter,gives,two,old,flowers
43,Nina,wants,nineteen,large,desks
44,Allen,kept,three,heavy,desks
45,Nina,sold,nineteen,dark,windows
46,Kathy,ordered,seven,cheap,houses
47,Rachel,bought,two,large,desks
