,0
0,mismatch right
1,match left
2,mismatch left
3,mismatch right
4,match right
5,match left
6,mismatch right
7,mismatch left
8,mismatch right
9,mismatch right
10,mismatch left
11,match right
12,mismatch left
13,mismatch right
14,match right
15,mismatch left
16,match left
17,mismatch right
18,mismatch right
19,mismatch right
20,mismatch left
21,match left
22,match left
23,match right
24,mismatch left
25,match left
26,mismatch left
27,mismatch left
28,match right
29,mismatch left
30,match right
31,match right
32,match left
33,match right
34,mismatch left
35,match left
36,match right
37,match right
38,mismatch right
39,mismatch left
40,match left
41,mismatch right
42,match left
43,match right
44,mismatch right
45,match left
46,match left
47,match right
