,Column1,Column2,Column3,Column4,Column5
0,Nina,ordered,sixty,heavy,sofas
1,Peter,has,seven,pretty,desks
2,William,bought,four,red,tables
3,Lucy,gives,eight,white,desks
4,Doris,ordered,twelve,old,flowers
5,Kathy,sold,nineteen,old,sofas
6,Doris,kept,seven,large,sofas
7,Allen,wants,three,pretty,chairs
8,Peter,ordered,twelve,red,windows
9,Thomas,has,sixty,dark,houses
10,Thomas,prefers,nine,white,tables
11,Doris,kept,nineteen,cheap,spoons
12,Thomas,wants,seven,green,toys
13,Lucy,got,three,red,desks
14,Thomas,sold,two,old,chairs
15,William,has,sixty,white,chairs
16,Kathy,kept,two,dark,houses
17,Lucy,got,fifteen,small,flowers
18,Nina,ordered,nine,heavy,tables
19,Kathy,kept,three,cheap,flowers
20,Doris,ordered,two,cheap,sofas
21,Kathy,wants,sixty,old,toys
22,Lucy,got,four,heavy,toys
23,Peter,sold,four,heavy,windows
24,William,kept,nine,large,rings
25,Allen,gives,four,pretty,desks
26,Steven,wants,fifteen,heavy,tables
27,Peter,bought,three,cheap,rings
28,Kathy,gives,nine,old,chairs
29,Steven,prefers,seven,pretty,sofas
30,William,ordered,four,heavy,windows
31,Lucy,got,fifteen,small,flowers
32,Peter,bought,three,cheap,rings
33,Allen,prefers,four,small,flowers
34,Thomas,got,eight,red,windows
35,Lucy,has,nineteen,dark,desks
36,Peter,got,nineteen,heavy,windows
37,Doris,has,four,old,sofas
38,Peter,prefers,nineteen,dark,tables
39,Allen,ordered,twelve,large,desks
40,Thomas,ordered,two,small,tables
41,Nina,gives,two,pretty,rings
42,Rachel,got,three,large,chairs
43,Peter,sold,sixty,white,desks
44,William,bought,four,red,tables
45,Kathy,wants,fifteen,cheap,desks
46,Nina,got,twelve,white,toys
47,Peter,ordered,nine,old,windows
