,Column1,Column2,Column3,Column4,Column5
0,Peter,prefers,nine,dark,rings
1,Nina,sold,nineteen,cheap,desks
2,Thomas,got,twelve,small,toys
3,Steven,sees,three,white,chairs
4,Allen,prefers,three,red,sofas
5,Steven,sold,sixty,pretty,toys
6,Peter,got,three,white,windows
7,Allen,prefers,four,heavy,flowers
8,Rachel,sees,fifteen,red,desks
9,Thomas,got,nineteen,large,rings
10,Rachel,sees,nine,pretty,desks
11,Peter,got,seven,white,tables
12,Doris,ordered,eight,cheap,rings
13,Kathy,has,nine,dark,toys
14,Nina,sees,nineteen,old,chairs
15,Allen,gives,fifteen,cheap,flowers
16,Peter,has,sixty,heavy,houses
17,Kathy,wants,two,pretty,sofas
18,Nina,prefers,seven,large,sofas
19,Kathy,kept,twelve,old,chairs
20,Steven,bought,nine,heavy,toys
21,Lucy,wants,two,red,sofas
22,Kathy,prefers,four,large,houses
23,Thomas,sold,sixty,small,rings
24,Kathy,got,nine,dark,chairs
25,Rachel,ordered,twelve,cheap,tables
26,Peter,bought,two,green,houses
27,Kathy,sees,four,old,toys
28,Steven,prefers,two,old,rings
29,Allen,kept,nine,white,desks
30,Thomas,bought,three,red,windows
31,Allen,wants,fifteen,heavy,toys
32,Peter,wants,nineteen,red,windows
33,Thomas,sees,nineteen,cheap,houses
34,Nina,wants,nine,cheap,flowers
35,Peter,kept,three,white,desks
36,Lucy,wants,fifteen,small,sofas
37,Thomas,sees,eight,green,rings
38,Kathy,gives,nineteen,red,spoons
39,Allen,got,two,large,toys
40,Lucy,wants,three,cheap,flowers
41,William,prefers,sixty,small,sofas
42,Allen,bought,nineteen,heavy,desks
43,Peter,bought,nineteen,cheap,houses
44,Nina,has,seven,old,sofas
45,Steven,ordered,two,dark,spoons
46,Allen,sees,three,large,desks
47,Kathy,gives,seven,old,desks
