,0
0,mismatch right
1,match right
2,mismatch right
3,match right
4,mismatch left
5,mismatch left
6,match left
7,mismatch right
8,mismatch left
9,mismatch left
10,match left
11,match left
12,match right
13,mismatch left
14,mismatch left
15,mismatch right
16,match right
17,mismatch left
18,match right
19,mismatch left
20,match left
21,match right
22,mismatch right
23,match left
24,match right
25,match left
26,match right
27,mismatch right
28,match left
29,match left
30,mismatch left
31,match right
32,match right
33,mismatch left
34,mismatch right
35,mismatch right
36,match left
37,match right
38,mismatch right
39,mismatch left
40,mismatch left
41,match right
42,match left
43,mismatch right
44,match left
45,mismatch right
46,mismatch right
47,match left
