,Column1,Column2,Column3,Column4,Column5
0,Doris,sees,twelve,red,toys
1,William,bought,two,pretty,houses
2,Nina,bought,three,large,spoons
3,Steven,sold,nine,pretty,windows
4,William,kept,sixty,heavy,rings
5,Rachel,has,twelve,red,sofas
6,Doris,wants,two,dark,tables
7,Kathy,prefers,four,small,rings
8,Steven,gives,four,dark,desks
9,Rachel,got,nineteen,large,desks
10,Lucy,sees,twelve,green,houses
11,William,prefers,sixty,small,sofas
12,Allen,bought,seven,pretty,tables
13,Peter,got,seven,white,tables
14,Kathy,has,fifteen,heavy,desks
15,Lucy,ordered,two,cheap,flowers
16,Kathy,got,seven,red,tables
17,Steven,prefers,seven,pretty,sofas
18,Peter,prefers,three,large,chairs
19,Steven,got,nine,old,flowers
20,Peter,gives,fifteen,small,spoons
21,Kathy,prefers,eight,red,tables
22,Nina,sold,nineteen,heavy,rings
23,Doris,got,seven,old,windows
24,Rachel,got,eight,small,spoons
25,Peter,got,seven,white,tables
26,Lucy,bought,twelve,green,desks
27,Kathy,ordered,four,cheap,spoons
28,Allen,has,nineteen,large,spoons
29,Doris,sees,twelve,red,toys
30,Nina,sold,four,heavy,rings
31,Steven,kept,two,cheap,windows
32,Lucy,has,nineteen,white,chairs
33,Rachel,kept,eight,large,sofas
34,Peter,ordered,eight,heavy,desks
35,Peter,sees,sixty,old,sofas
36,Lucy,gives,four,large,toys
37,Kathy,sold,fifteen,dark,spoons
38,Thomas,sees,three,cheap,rings
39,Nina,bought,nineteen,white,houses
40,Thomas,got,fifteen,large,chairs
41,William,kept,sixty,heavy,rings
42,Rachel,has,four,small,desks
43,Kathy,ordered,three,dark,chairs
44,Lucy,gives,nineteen,pretty,houses
45,Peter,wants,nine,green,flowers
46,Steven,bought,eight,large,sofas
47,Peter,sold,eight,old,spoons
