,0
0,match left
1,mismatch left
2,match left
3,mismatch left
4,mismatch right
5,match right
6,mismatch right
7,match left
8,match right
9,match left
10,match right
11,match right
12,mismatch right
13,mismatch left
14,match right
15,mismatch left
16,match left
17,mismatch left
18,match left
19,match left
20,mismatch right
21,mismatch left
22,mismatch left
23,match right
24,mismatch right
25,match right
26,mismatch right
27,match right
28,mismatch right
29,match left
30,mismatch left
31,mismatch left
32,mismatch left
33,mismatch right
34,match right
35,match left
36,match right
37,mismatch right
38,mismatch right
39,mismatch left
40,match left
41,match right
42,match left
43,match right
44,mismatch right
45,mismatch right
46,match left
47,mismatch left
