,Column1,Column2,Column3,Column4,Column5
0,Peter,gives,twelve,small,desks
1,William,wants,sixty,pretty,chairs
2,Rachel,sold,seven,old,tables
3,Peter,wants,seven,white,spoons
4,Nina,kept,twelve,pretty,tables
5,Steven,has,four,heavy,chairs
6,Steven,wants,three,cheap,desks
7,Allen,bought,seven,pretty,tables
8,William,got,three,dark,houses
9,Rachel,has,nineteen,white,desks
10,Peter,bought,nineteen,cheap,houses
11,Thomas,sold,fifteen,white,spoons
12,Lucy,prefers,twelve,large,sofas
13,Steven,got,seven,green,flowers
14,Nina,ordered,nine,heavy,tables
15,Allen,sees,four,dark,toys
16,Doris,sold,twelve,old,sofas
17,Allen,wants,two,white,flowers
18,Peter,has,seven,large,rings
19,Doris,ordered,nineteen,white,toys
20,Steven,prefers,four,large,houses
21,William,kept,two,red,windows
22,Nina,got,two,heavy,tables
23,Peter,gives,fifteen,small,spoons
24,Nina,kept,four,pretty,houses
25,Allen,sold,two,green,chairs
26,Kathy,got,seven,large,chairs
27,William,gives,twelve,red,rings
28,Lucy,got,four,pretty,sofas
29,Nina,has,sixty,green,desks
30,Kathy,ordered,fifteen,cheap,toys
31,Peter,gives,eight,red,houses
32,Peter,kept,three,large,chairs
33,Rachel,kept,sixty,large,desks
34,Thomas,prefers,nine,white,tables
35,Doris,bought,eight,cheap,houses
36,Rachel,ordered,twelve,cheap,tables
37,Allen,sees,three,small,rings
38,Steven,got,seven,green,chairs
39,Rachel,prefers,two,old,toys
40,Nina,sees,nineteen,green,houses
41,Kathy,bought,nine,white,rings
42,Kathy,got,nine,dark,desks
43,Lucy,has,four,old,flowers
44,Kathy,gives,eight,large,spoons
45,Rachel,sold,seven,white,tables
46,Peter,bought,sixty,pretty,desks
47,Peter,kept,two,red,desks
