,0
0,mismatch right
1,match right
2,match right
3,match right
4,mismatch left
5,match left
6,match right
7,mismatch right
8,match left
9,mismatch left
10,mismatch left
11,match left
12,mismatch right
13,match right
14,match left
15,match right
16,mismatch left
17,match right
18,mismatch right
19,mismatch right
20,match left
21,match right
22,mismatch left
23,match left
24,mismatch right
25,mismatch left
26,match right
27,mismatch left
28,match left
29,mismatch right
30,mismatch right
31,mismatch right
32,match left
33,match right
34,mismatch left
35,mismatch left
36,mismatch left
37,match right
38,mismatch right
39,mismatch left
40,mismatch right
41,match left
42,match right
43,mismatch right
44,match left
45,mismatch left
46,match left
47,match left
